location,question,answer
Littlefield Fountain,Is it indoors or outdoors?,"Outdoors, surrounded by campus paths."

Turtle Pond,Do people come here to relax?,"Yes, it’s a calm place for breaks."
Turtle Pond,Do you see animals here?,"Yes, turtles and fish are common."
Turtle Pond,Is it shaded or sunny?,"A mix of shade and sunlight."
Turtle Pond,Do people take photos here?,"Yes, especially of the turtles."
Turtle Pond,Is it quiet?,"Yes, very peaceful and serene."

The Drag,Do people shop or eat here?,"Both—lots of restaurants and stores."
The Drag,Is it busy or calm?,"Usually very busy with students."
The Drag,Do cars or pedestrians dominate?,"Mostly pedestrians, but cars pass through."
The Drag,Is it indoors or outdoors?,"Outdoors along Guadalupe Street."
The Drag,Do people spend much time here?,"People stop by frequently throughout the day."

Norman Hackerman Building,Is it a science-related place?,"Yes, it’s mainly for chemistry and biology."
Norman Hackerman Building,Do people wear lab coats here?,"Yes, in lab areas."
Norman Hackerman Building,Is it quiet or noisy?,"Lecture halls are quiet; labs can be active."
Norman Hackerman Building,Is it modern or old-fashioned?,"Very modern with updated labs."
Norman Hackerman Building,Do you smell chemicals here?,"Sometimes faintly, in lab areas."

WCP Student Activity Center,Do people come here to study or socialize?,"Both—it’s a major social hub."
WCP Student Activity Center,Is it loud or quiet?,"Lively in public areas, quiet in lounges."
WCP Student Activity Center,Are there food options here?,"Yes, several dining spots."
WCP Student Activity Center,Do people stay long?,"Yes, many hang out between classes."
WCP Student Activity Center,Is it indoors or outdoors?,"Mostly indoors."

Texas State Capitol,Do people visit for work or tourism?,"Both—it’s an active government site and tourist spot."
Texas State Capitol,Is it crowded?,"Yes, especially on weekdays and tours."
Texas State Capitol,Is it formal or casual?,"Mostly formal with officials and visitors."
Texas State Capitol,Is the architecture grand?,"Yes, it’s impressive and historic."
Texas State Capitol,Do people take photos here?,"Constantly—it’s a major landmark."

Mt. Bonnell & Mayfield Park,Do people hike or relax here?,"Both—some climb, others rest and enjoy views."
Mt. Bonnell & Mayfield Park,Is it crowded?,"Can be busy on weekends."
Mt. Bonnell & Mayfield Park,Do you see animals here?,"Yes, especially peacocks at Mayfield."
Mt. Bonnell & Mayfield Park,Is it sunny or shaded?,"Mostly sunny with some shade."
Mt. Bonnell & Mayfield Park,Do people take photos here?,"Yes, especially at the overlook."

Barton Springs,Do people swim here?,"Yes, it’s a natural spring-fed pool."
Barton Springs,Is the water cold or warm?,"Always chilly, even in summer."
Barton Springs,Do people relax or exercise here?,"Both—some swim laps, others sunbathe."
Barton Springs,Is it natural or man-made?,"Natural spring, partially developed."
Barton Springs,Is it crowded?,"Yes, especially on hot days."

Zilker Park,Do people play sports or relax here?,"Both—many come for picnics and games."
Zilker Park,Is it large or small?,"Very large, open and grassy."
Zilker Park,Do people bring pets here?,"Yes, it’s popular for dogs."
Zilker Park,Is it noisy?,"Can be lively with music and chatter."
Zilker Park,Do people visit year-round?,"Yes, especially in nice weather."

Lake Austin,Do people swim or boat here?,"Mostly boating and water sports."
Lake Austin,Is it peaceful or busy?,"It varies—calm in mornings, busy weekends."
Lake Austin,Do you hear nature or engines?,"Both—birds and boat motors."
Lake Austin,Do people live near here?,"Yes, there are houses along the water."
Lake Austin,Do people fish here?,"Yes, fishing is common."

Lady Bird Johnson Wildflower Center,Do you see a lot of plants here?,"Yes, it’s filled with native Texas flora."
Lady Bird Johnson Wildflower Center,Is it outdoors or indoors?,"Mostly outdoors."
Lady Bird Johnson Wildflower Center,Do people come to learn or relax?,"Both—education and leisure."
Lady Bird Johnson Wildflower Center,Is it quiet or full of activity?,"Mostly quiet with soft sounds of nature."
Lady Bird Johnson Wildflower Center,Do you see many colors here?,"Yes, the flowers make it vibrant."

Zilker Botanical Garden,Is this place usually quiet or noisy?,"It is generally quiet with natural sounds."
Zilker Botanical Garden,Do people often come here to relax or explore?,"People usually come to relax and enjoy nature."
Zilker Botanical Garden,Is there a lot of greenery and plants in this area?,"Yes, there are many plants and gardens."
Zilker Botanical Garden,Do visitors usually walk around or stay in one spot?,"People mostly walk around to explore the gardens."
Zilker Botanical Garden,Is this place open to the public?,"Yes, it is open to visitors."

South Congress (SoCo),Is this area busy or calm?,"It is usually busy with lots of people."
South Congress (SoCo),"Do people come here to shop, eat, or relax?","People come to shop, eat, and enjoy the area."
South Congress (SoCo),Are there many different types of shops and attractions?,"Yes, there is a variety of shops and attractions."
South Congress (SoCo),Do people usually walk around or stay in one place?,"People mostly walk around while exploring."
South Congress (SoCo),Is this area known for a lively atmosphere?,"Yes, it is known for being lively and vibrant."
